Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
3,Browser Client Process Memory Tampered,Tampering,Diagram 1,HTTP,High,Not Started,,"If Browser Client is given access to memory, such as shared memory or pointers, or is given the ability to control what Web Application executes (for example, passing back a function pointer.), then Browser Client can tamper with Web Application. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
4,Cross Site Scripting,Tampering,Diagram 1,HTTP,High,Not Started,,The web server 'Web Application' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
5,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTP,High,Not Started,,Web Application may be able to impersonate the context of Browser Client in order to gain additional privilege.,,Generated
7,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Generic Data Flow,High,Not Started,,Browser Client may be able to impersonate the context of Voter in order to gain additional privilege.,,Generated
6,Spoofing the Voter External Entity,Spoofing,Diagram 1,Generic Data Flow,High,Not Started,,Voter may be spoofed by an attacker and this may lead to unauthorized access to Browser Client. Consider using a standard authentication mechanism to identify the external entity.,,Generated
12,Spoofing of Destination Data Store Cookies,Spoofing,Diagram 1,Generic Data Flow,High,Not Started,,Cookies may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Cookies. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
13,Potential Excessive Resource Consumption for Web Application or Cookies,Denial Of Service,Diagram 1,Generic Data Flow,High,Not Started,,"Does Web Application or Cookies take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
15,Spoofing of Destination Data Store SQL Database,Spoofing,Diagram 1,Generic Data Flow,High,Not Started,,SQL Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of SQL Database. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
14,Spoofing of Source Data Store Cookies,Spoofing,Diagram 1,Generic Data Flow,High,Not Started,,Cookies may be spoofed by an attacker and this may lead to incorrect data delivered to SQL Database. Consider using a standard authentication mechanism to identify the source data store.,,Generated
17,Cross Site Scripting,Tampering,Diagram 1,Generic Data Flow,High,Not Started,,The web server 'Web Application' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
16,Spoofing of Source Data Store SQL Database,Spoofing,Diagram 1,Generic Data Flow,High,Not Started,,SQL Database may be spoofed by an attacker and this may lead to incorrect data delivered to Web Application. Consider using a standard authentication mechanism to identify the source data store.,,Generated
18,Persistent Cross Site Scripting,Tampering,Diagram 1,Generic Data Flow,High,Not Started,,The web server 'Web Application' could be a subject to a persistent cross-site scripting attack because it does not sanitize data store 'SQL Database' inputs and output.,,Generated
19,Weak Access Control for a Resource,Information Disclosure,Diagram 1,Generic Data Flow,High,Not Started,,Improper data protection of SQL Database can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
20,Spoofing the Web Application Process,Spoofing,Diagram 1,Generic Data Flow,High,Not Started,,Web Application may be spoofed by an attacker and this may lead to unauthorized access to Blockchain. Consider using a standard authentication mechanism to identify the source process.,,Generated
